Buenavista, 3
Calarca, 5
Circasia, 5
Córdoba, 0
Filandia, 1
Génova, 4
La Tebaida, 5
Montenegro, 5
Pijao, 0
Quimbaya, 5
Salento, 0
Pereira, 5
Apía, 1
Balboa, 3
Belén de Umbría, 5
Dosquebradas, 5
Guática, 4
La Celia, 4
La Virginia, 5
Marsella, 1
Mistrató, 4
Pueblo Rico, 0
Quinchía, 1
Santa Rosa de Cabal, 5
Santuario, 1
Bucaramanga, 5
Aguada, 2
Albania, 2
Aratoca, 0
Barbosa, 1
Barichara, 3
Barrancabermeja, 1
Betulia, 3
Bolívar, 3
Cabrera, 2
California, 3
Capitanejo, 3
Carcasí, 2
Cepitá, 2
Cerrito, 0
Charalá, 4
Charta, 2
Chima, 2
Chipatá, 2
Cimitarra, 5
Concepción, 0
Confines, 2
Contratación, 3
Coromoro, 3
Curití, 0
El Carmen de Chucurí, 1
El Guacamayo, 2
El Peñón, 2
El Playón, 1
Encino, 2
Enciso, 2
Florián, 3
Floridablanca, 5
Galán, 2
Gambita, 2
Girón, 5
Guaca, 3
Guadalupe, 3
Guapotá, 2
Guavatá, 2
Güepsa, 3
Hato, 2
Jesús María, 2
Jordán, 2
La Belleza, 3
Landázuri, 4
La Paz, 2
Lebríja, 1
Los Santos, 3
Macaravita, 2
Málaga, 1
Matanza, 3
Mogotes, 0
Molagavita, 2
Ocamonte, 2
Oiba, 4
Onzaga, 3
Palmar, 2
Palmas del Socorro, 2
Páramo, 3
Piedecuesta, 5
Pinchote, 3
Puente Nacional, 4
Puerto Parra, 0
Puerto Wilches, 5
Rionegro, 1
Sabana de Torres, 1
San Andrés, 0
San Benito, 2
San Gil, 1
San Joaquín, 2
San José de Miranda, 2
San Miguel, 2
San Vicente de Chucurí, 1
Santa Bárbara, 2
Santa Helena del Opón, 2
Simacota, 0
Socorro, 1
Suaita, 3
Sucre, 2
Suratá, 2
Tona, 2
Valle de San José, 3
Vélez, 1
Vetas, 3
Villanueva, 3
Zapatoca, 0
Sincelejo, 5
Buenavista, 1
Caimito, 0
Coloso, 0
Corozal, 5
Coveñas, 2
Chalán, 0
El Roble, 0
Galeras, 1
Guaranda, 1
La Unión, 3
Los Palmitos, 1
Majagual, 1
Morroa, 4
Ovejas, 1
Palmito, 4
Sampués, 5
San Benito Abad, 0
San Juan de Betulia, 4
San Marcos, 1
San Onofre, 5
San Pedro, 1
San Luis de Sincé, 5
Sucre, 1
Santiago de Tolú, 4
Tolú Viejo, 4
Ibagué, 5
Alpujarra, 3
Alvarado, 0
Ambalema, 0
Anzoátegui, 0
Armero, 4
Ataco, 0
Cajamarca, 5
Carmen de Apicalá, 0
Casabianca, 3
Chaparral, 1
Coello, 3
Coyaima, 4
Cunday, 3
Dolores, 0
Espinal, 5
Falan, 3
Flandes, 1
Fresno, 5
Guamo, 4
Herveo, 0
Honda, 0
Icononzo, 0
Lérida, 1
Líbano, 5
Mariquita, 1
Melgar, 0
Murillo, 3
Natagaima, 5
Ortega, 0
Palocabildo, 0
Piedras, 3
Planadas, 1
Prado, 3
Purificación, 1
Rioblanco, 1
Roncesvalles, 3
Rovira, 1
Saldaña, 4
San Antonio, 0
San Luis, 0
Santa Isabel, 0
Suárez, 3
Valle de San Juan, 0
Venadillo, 5
Villahermosa, 0
Villarrica, 3
Cali, 5
Alcalá, 5
Andalucía, 1
Ansermanuevo, 5
Argelia, 0
Bolívar, 3
Buenaventura, 5
Guadalajara de Buga, 5
Bugalagrande, 4
Caicedonia, 5
Calima, 1
Candelaria, 5
Cartago, 5
Dagua, 1
El Águila, 0
El Cairo, 0
El Cerrito, 5
El Dovio, 4
Florida, 5
Ginebra, 1
Guacarí, 5
Jamundí, 1
La Cumbre, 3
La Unión, 5
La Victoria, 4
Obando, 1
Palmira, 5
Pradera, 5
Restrepo, 1
Riofrío, 4
Roldanillo, 1
San Pedro, 1
Sevilla, 5
Toro, 1
Trujillo, 1
Tuluá, 5
Ulloa, 0
Versalles, 0
Vijes, 4
Yotoco, 1
Yumbo, 4
Zarzal, 5
Arauca, 1
Arauquita, 5
Cravo Norte, 2
Fortul, 1
Puerto Rondón, 3
Saravena, 1
Tame, 0
Yopal, 5
Aguazul, 1
Chameza, 3
Hato Corozal, 0
La Salina, 2
Maní, 3
Monterrey, 4
Nunchía, 3
Orocué, 3
Paz de Ariporo, 4
Pore, 3
Recetor, 3
Sabanalarga, 3
Sácama, 2
San Luis de Palenque, 3
Támara, 0
Tauramena, 4
Trinidad, 4
Villanueva, 1
Mocoa, 5
Colón, 3
Orito, 1
Puerto Asís, 5
Puerto Caicedo, 4
Puerto Guzmán, 4
Leguízamo, 1
Sibundoy, 1
San Francisco, 0
San Miguel, 1
Santiago, 0
Valle del Guamuez, 5
Villagarzón, 1
San Andrés, 5
Providencia, 2
Leticia, 4
El Encanto (ANM), 2
La Chorrera (ANM), 2
La Pedrera (ANM), 2
Miriti - Paraná (ANM), 2
Puerto Alegría (ANM), 2
Puerto Arica (ANM), 2
Puerto Nariño, 3
Puerto Santander (ANM), 2
Tarapacá (ANM), 2
Inírida, 0
Barranco Minas (ANM), 2
Mapiripana (ANM), 2
San Felipe (ANM), 2
Puerto Colombia (ANM), 2
La Guadalupe (ANM), 2
Cacahual (ANM), 2
Pana Pana (ANM), 2
Morichal (ANM), 2
San José del Guaviare, 5
Calamar, 4
El Retorno, 5
Miraflores, 0
Mitú, 4
Caruru, 2
Pacoa (ANM), 2
Taraira, 2
Papunaua (ANM), 2
Yavaraté (ANM), 2
Puerto Carreño, 0
La Primavera, 0
Santa Rosalía, 3
Cumaribo, 1
